1|Chương 1: Mở đầu|1
2|Kỹ sư và nghề nghiệp|0
3|Người kỹ sư trong môi trường kinh doanh|0
4|Người kỹ sư trong công tác quản lý|0
5|Người kỹ sư học quản lý như thế nào?|0
6|Công tác quản lý và vai trò của công nghệ|0
7|Chương 2: Ra quyết định trong quản lý|1
8|Giới thiệu về ra quyết định trong quản lý|0
9|Các loại ra quyết định trong quản lý|0
10|Quá trình ra quyết định|0
11|Ra quyết định trong điều kiện rủi ro|0
12|Ra quyết định trong điều kiện không chắc chắn|0
13|Ra quyết định theo mô hình tính toán trong phương pháp định lượng|0
14|Chương 3: Quản lý Kế toán – Tài chính|1
15|Khái niệm kế toán, tài chính|0
16|Kế toán tài chính|0
17|Kế toán quản trị|0
18|Các quyết định đầu tư|0
19|Các quyết định tài trợ|0
20|Phân tích tài chính|0
21|Chương 4: Quản lý Tiếp thị|1
22|Khái niệm chung|0
23|Nhận dạng nhu cầu khách hàng và cơ hội tiếp thị|0
24|Tạo ra giá trị tiếp thị|0
25|Truyền thông giá trị tiếp thị|0
26|Vòng đời sản phẩm và chiến lược theo vòng đời sản phẩm|0
27|Chương 5: Cấu trúc tổ chức và công tác quản lý nhân sự|1
28|Khái niệm cấu trúc tổ chức|0
29|Các nguyên tắc thiết kế cấu trúc tổ chức|0
30|Các loại cấu trúc điển hình|0
31|Các nguyên tắc quy định quyền hạn|0
32|Khái niệm và mục tiêu của quản lý nhân sự|0
33|Các chức năng chính của quản lý nhân sự|0
34|Quy trình quản lý nguồn nhân lực|0
35|Chương 6: Quản lý Sản xuất và vận hành|1
36|Tổng quan|0
37|Giới thiệu các hệ thống sản xuất|0
38|Các dạng bố trí mặt bằng trong sản xuất|0
39|Hoạch định tổng hợp|0
40|Quản lý kho|0
41|Hoạch định nhu cầu nguyên vật liệu|0
42|Chương 7: Quản lý Chất lượng|1
43|Tổng quan|0
44|Quản lý chất lượng toàn diện (TQM)|0
45|Triển khai chức năng chất lượng|0
46|Hệ thống tiêu chuẩn chất lượng|0
47|Các giải thưởng chất lượng|0
48|Chương 8: Quản lý Dự án|1
49|Đặc tính của một dự án|0
50|Giới thiệu về quản lý dự án|0
51|Giới thiệu về nhà quản lý dự án|0
52|Các công cụ hoạch định và lập tiến độ dự án|0
53|Phân bổ nguồn lực của dự án|0
