1|Chương 1: Giới thiệu|1
2|Các hướng nghiên cứu và ứng dụng mới nhất|0
3|Giới thiệu phương pháp học|0
4|Các phần mềm|0
5|Chương 2: Logic và Phép chứng minh|1
6|Số học của số nguyên|0
7|Logíc mệnh đề: logic nhị nguyên, vị từ và lượng từ|0
8|Chứng minh phản chứng, quy nạp|0
9|Ứng dụng của phép quy nạp (optional)|0
10|Chương 3: Lý thuyết tập hợp|1
11|Tập hợp, phép toán|0
12|Ánh xạ, tính chất|0
13|Lượng số, tập đếm được|0
14|Quan hệ, quan hệ tương đương, thứ tự, các tập sắp thứ tự|0
15|Tổ hợp và chỉnh hợp|0
16|Phép đếm, các nguyên lý (cộng, nhân, bao gồm, loại trừ)|0
17|Cơ bản về thống kê và xác suất biến ngẫu nhiên rời rạc|0
18|Chương 4: Quan hệ|1
19|Định nghĩa|0
20|Cách biểu diễn|0
21|Tính bao đóng và phân loại|0
22|Chương 5: Lý thuyết đồ thị|1
23|Khái niệm cơ bản: đồ thị vô hướng, có hướng, có trọng số, biểu diễn đồ thị|0
24|Đồ thị đẳng cấu|0
25|Đồ thị khả phân, bài toán đối sánh, đối sánh có trọng số|0
26|Tìm đường đi có trọng số nhỏ nhất trên đồ thị có trọng số|0
27|Chương 6: Cây và thuật toán|1
28|Tính chất, cây nhị phân|0
29|Các phép duyệt trên cây|0
30|Cây phủ bé nhất trong đồ thị liên thông có trọng số|0
31|Chương 7: Đường đi và chu trình|1
32|Định nghĩa|0
33|Đường đi/chu trình Hamilton/Euler|0
34|Các giải thuật tìm đường đi ngắn nhất|0
35|Ứng dụng tìm đường đi ngắn nhất trong bài toán dòng chảy|0
