1|Giới thiệu về công nghệ thông tin và Internet|1
2|Giới thiệu về máy tính và lập trình|1
3|Phần cứng và phần mềm máy tính|0
4|Ngôn ngữ lập trình|0
5|Giải quyết vấn đề và phát triển phần mềm|0
6|Giải thuật|0
7|Các thành phần căn bản của C++|1
8|Kiểu dữ liệu và các phép toán|0
9|Biến và khai báo biến|0
10|Các thể loại (short, long, unsigned) của kiểu nguyên|0
11|Thí dụ về giải quyết vấn đề|0
12|Các phép toán gán|0
13|Các định dạng số liệu để xuất ra|0
14|Sử dụng các hàm thư viện|0
15|Nhập trị với phát biểu cin|0
16|Các hằng ký hiệu|0
17|Các cấu trúc lặp - mảng và lập trình có cấu trúc|1
18|Các cấu trúc lặp căn bản|0
19|Vòng lặp while|0
20|Vòng lặp while tương tác|0
21|Vòng lặp for|0
22|Các vòng lặp lồng nhau|0
23|Vòng lặp do-while|0
24|Lập trình có cấu trúc|0
25|Mảng, cấu trúc|0
26|Hàm|1
27|Hàm và khai báo tham số|0
28|Trị trả về của hàm|0
29|Tầm vực của biến|0
30|Các loại lưu trữ biến|0
31|Truyền bằng tham khảo|0
32|Internet, Web, Thương mại điện tử, Internet of Things|1
33|Hệ thống thông tin và quá trình phát triển hệ thống thông tin|1
34|Tương lai của bạn và Công nghệ thông tin|1
35|Đạo văn và cách tránh đạo văn|1
